cohort,method,n,tir_70_180_mean,tir_70_180_std,tir_70_180_ci95,tight_80_140_mean,tight_80_140_std,tight_80_140_ci95,tbr_70_mean,tbr_70_std,tbr_70_ci95,tbr_54_mean,tbr_54_std,tbr_54_ci95,tar_180_mean,tar_180_std,tar_180_ci95,mean_glucose_mean,mean_glucose_std,mean_glucose_ci95,sd_glucose_mean,sd_glucose_std,sd_glucose_ci95,cv_glucose_mean,cv_glucose_std,cv_glucose_ci95,rmse_110_mean,rmse_110_std,rmse_110_ci95,normality_rmse_mean,normality_rmse_std,normality_rmse_ci95,total_insulin_u_mean,total_insulin_u_std,total_insulin_u_ci95,safety_interventions_mean,safety_interventions_std,safety_interventions_ci95,runtime_s_mean,runtime_s_std,runtime_s_ci95
t1d,ADMM-PID,15,84.17531718569782,5.0946308044217625,2.5782389140518354,71.83391003460207,4.698752995645108,2.37789710107656,0.023068050749711647,0.08934217638310073,0.04521337946943482,0.0,0.0,0.0,15.80161476355248,5.098322525825959,2.5801071828527613,133.1289433896314,8.6938015642374,4.399670626673729,45.261655480781634,8.610801712084195,4.357666906110462,33.811854384429374,4.762218509950706,2.4100150827251987,50.98946625218472,11.151133744981014,5.643252290657353,29.03269428377516,9.266818979925114,4.689657449324986,44.372500006689954,5.510311204456226,2.7886022208978014,0.0,0.0,0.0,,,
t1d,Scenario ADMM-PID,15,86.34371395617067,5.4599066711458475,2.763094007601433,74.34832756632066,4.355046550354713,2.20395764083363,0.023068050749711647,0.08934217638310073,0.04521337946943482,0.0,0.0,0.0,13.633217993079581,5.46136840971058,2.763833749379482,127.62012925221104,8.709944649347097,4.407840154912468,41.923408170164976,8.917491615310839,4.512873411429639,32.60997551309178,5.1667881646384295,2.6147555766300927,45.70941890230144,11.21435092367605,5.675244597147286,,,,48.8065353052302,7.056340220599053,3.5710008528483503,0.0,0.0,0.0,,,
t2d,ADMM-PID,15,86.68973471741637,5.347538952389149,2.7062280959576874,73.70242214532871,4.895219890952861,2.4773230681880056,0.0,0.0,0.0,0.0,0.0,0.0,13.310265282583623,5.3475389523891526,2.7062280959576896,131.25801129942494,6.465994214368649,3.272244553432643,37.14389827277523,5.953100369239045,3.0126844555462347,28.21520245674192,3.7226977704283706,1.8839450051301212,42.90764602882535,7.863772774509868,3.979618103220705,21.213564519017222,3.9066998286335592,1.9770628943240747,33.60618202617799,6.855344541698352,3.46928300502152,0.0,0.0,0.0,,,
t2d,Scenario ADMM-PID,15,88.35063437139563,5.143414207316311,2.602926722164139,76.23990772779702,5.10837729679241,2.5851955990251527,0.0,0.0,0.0,0.0,0.0,0.0,11.649365628604382,5.143414207316308,2.6029267221641375,126.63289472363537,6.453961315876686,3.266155066611755,35.339280637580615,5.530174051314033,2.798654208309373,27.825300750867893,3.517466606532204,1.780083706157486,39.21598536973862,7.364854804797309,3.727130774145512,,,,43.101636746383434,9.903274219965944,5.011748240575504,0.0,0.0,0.0,,,
t1d,Safety-projected ADMM-PID,15,84.19838523644754,5.09832252582596,2.5801071828527617,71.9031141868512,4.719456448496945,2.3883744938155025,0.0,0.0,0.0,0.0,0.0,0.0,15.80161476355248,5.098322525825959,2.5801071828527613,133.1614926930737,8.681988949900825,4.393692619016568,45.240987516706404,8.61197654765138,4.358261454939065,33.78730521983958,4.758696140753424,2.408232517965803,50.983508794627106,11.154853332373435,5.6451346615940325,,,,44.349084506446985,5.523128685526857,2.795088761286115,2.2,1.8973665961010278,0.9601999791710059,,,
t1d,RSP-ADMM-PID (proposed),15,86.43598615916952,5.488548113189856,2.777588577133014,74.92502883506343,4.722475664262147,2.389902427806128,0.0,0.0,0.0,0.0,0.0,0.0,13.56401384083045,5.4885481131898555,2.7775885771330135,128.0891585935868,8.692371189690402,4.398946757278613,41.50513887677381,9.007194498804118,4.558269333882802,32.159465662583145,5.2473986946166,2.655550133340989,45.4914425799068,11.359755728005727,5.7488295808692635,,,,48.18360049625546,6.884830606005065,3.484205012392853,17.4,14.171399769555984,7.171717785858559,,,
t2d,Safety-projected ADMM-PID,15,86.68973471741637,5.34753895238915,2.706228095957688,73.70242214532871,4.895219890952861,2.4773230681880056,0.0,0.0,0.0,0.0,0.0,0.0,13.310265282583622,5.347538952389152,2.706228095957689,131.25801129942494,6.465994214368648,3.2722445534326425,37.14389827277523,5.953100369239044,3.012684455546234,28.21520245674192,3.7226977704283706,1.8839450051301212,42.90764602882535,7.863772774509869,3.9796181032207056,,,,33.60618202617799,6.855344541698352,3.46928300502152,0.0,0.0,0.0,,,
t2d,RSP-ADMM-PID (proposed),15,88.35063437139563,5.143414207316311,2.602926722164139,76.23990772779702,5.10837729679241,2.5851955990251527,0.0,0.0,0.0,0.0,0.0,0.0,11.649365628604384,5.143414207316308,2.6029267221641375,126.63289472363537,6.453961315876685,3.2661550666117547,35.339280637580615,5.530174051314032,2.7986542083093724,27.825300750867893,3.517466606532204,1.780083706157486,39.21598536973862,7.364854804797309,3.727130774145512,,,,43.101636746383434,9.903274219965944,5.011748240575504,0.0,0.0,0.0,,,
