tir_70_180,tight_80_140,tbr_70,tbr_54,tar_180,mean_glucose,sd_glucose,cv_glucose,rmse_110,total_insulin_u,safety_interventions,return,normality_rmse,cohort,method,seed_index,subject_seed,day_seed,runtime_s
100.0,85.46712802768167,0.0,0.0,0.0,113.18997361922602,20.53125053856736,18.13875370943632,20.74245866027002,0.0,0.0,-61.36375722652527,0.0,normal,Normal physiology,0,900000,1000000,0.0926726000002418
94.80968858131487,83.73702422145328,0.0,0.0,5.190311418685121,119.7934698902409,24.1232511752868,20.13736741859919,25.99672473265266,0.0,0.0,-97.93626817209152,0.0,normal,Normal physiology,1,900017,1000031,0.0957871609998619
94.80968858131487,82.35294117647058,0.0,0.0,5.190311418685121,116.52890620161983,26.35478207626677,22.616518883878804,27.10715371211557,0.0,0.0,-106.4612724406333,0.0,normal,Normal physiology,2,900034,1000062,0.091887904000032
96.53979238754326,83.73702422145328,0.0,0.0,3.460207612456748,116.50891688891276,24.33386730785968,20.885841150734567,25.14864171140533,0.0,0.0,-90.41909017400152,0.0,normal,Normal physiology,3,900051,1000093,0.0922655949998443
96.53979238754326,88.23529411764706,0.0,0.0,3.460207612456748,113.37571739229992,24.61877910790565,21.71433149368338,24.80690579698721,0.0,0.0,-92.1386338997912,0.0,normal,Normal physiology,4,900068,1000124,0.095251504999851
89.61937716262976,74.39446366782006,0.0,0.0,10.38062283737024,126.89228572747515,29.781798538539828,23.47014112623189,34.194090001521026,0.0,0.0,-169.67347510172414,0.0,normal,Normal physiology,5,900085,1000155,0.0938069870003346
95.8477508650519,82.69896193771626,0.0,0.0,4.1522491349480966,118.49619188238093,25.42453134346645,21.45599022178096,26.76481587509394,0.0,0.0,-103.283915006583,0.0,normal,Normal physiology,6,900102,1000186,0.1000806600000032
91.6955017301038,80.62283737024222,0.0,0.0,8.304498269896193,120.295989000204,33.514037091461624,27.859646335676903,35.004451127128235,0.0,0.0,-185.38955698336025,0.0,normal,Normal physiology,7,900119,1000217,0.0980174629999055
96.53979238754326,92.04152249134948,0.0,0.0,3.460207612456748,110.01822305320182,21.740697648713507,19.7609969015772,21.703059041302343,0.0,0.0,-68.83935577735957,0.0,normal,Normal physiology,8,900136,1000248,0.0925802540000404
99.65397923875432,89.61937716262976,0.0,0.0,0.3460207612456747,109.80607394713093,19.18176359819407,17.468763711039923,19.149530361673516,0.0,0.0,-52.32488287130295,0.0,normal,Normal physiology,9,900153,1000279,0.096163850999801
93.42560553633218,82.00692041522491,0.0,0.0,6.57439446366782,119.06121511420658,29.371343380689662,24.66911105561616,30.68870140492411,0.0,0.0,-140.3104023584519,0.0,normal,Normal physiology,10,900170,1000310,0.0946577720001187
99.30795847750863,83.39100346020761,0.0,0.0,0.6920415224913495,116.77980045301352,20.613608618810257,17.651690222834524,21.666015786865515,0.0,0.0,-66.94005977642587,0.0,normal,Normal physiology,11,900187,1000341,0.0960512839997136
98.2698961937716,81.31487889273356,0.0,0.0,1.7301038062283738,115.9460521899508,25.14033969334211,21.682790589674823,25.79157301156952,0.0,0.0,-94.94066488386858,0.0,normal,Normal physiology,12,900204,1000372,0.0985096040003554
96.88581314878893,93.77162629757784,0.0,0.0,3.1141868512110724,107.74323683473705,22.30496626643505,20.70196415265278,22.38041570171556,0.0,0.0,-73.77200343221588,0.0,normal,Normal physiology,13,900221,1000403,0.0959415409997745
91.6955017301038,80.27681660899654,0.0,0.0,8.304498269896193,121.5166463235659,32.569963396988136,26.802882059683537,34.4929711866516,0.0,0.0,-184.0698365881546,0.0,normal,Normal physiology,14,900238,1000434,0.0919692950001263
97.57785467128028,92.04152249134948,0.0,0.0,2.422145328719723,105.1629962562027,22.20938483779215,21.119011086071257,22.69243506641253,0.0,0.0,-73.97722747514251,0.0,normal,Normal physiology,15,900255,1000465,0.0961382630002845
98.2698961937716,75.77854671280276,0.0,0.0,1.7301038062283738,122.94201467491776,24.20886514930965,19.691287159497527,27.414174704387896,0.0,0.0,-107.26069538317994,0.0,normal,Normal physiology,16,900272,1000496,0.0947749460001432
100.0,91.6955017301038,0.0,0.0,0.0,108.75771695978712,16.22597231197598,14.9193756227666,16.245443472749805,0.0,0.0,-37.61233204910185,0.0,normal,Normal physiology,17,900289,1000527,0.0942940809995889
97.92387543252596,87.88927335640139,0.0,0.0,2.0761245674740483,116.30457566604385,20.269701805548205,17.42812068181263,21.194027977424323,0.0,0.0,-64.41969101160493,0.0,normal,Normal physiology,18,900306,1000558,0.0913085429997409
94.80968858131487,74.0484429065744,0.0,0.0,5.190311418685121,124.05181484064676,25.343965390286535,20.4301447929985,28.940413495564357,0.0,0.0,-119.69663995503176,0.0,normal,Normal physiology,19,900323,1000589,0.0904814320001605
99.65397923875432,87.19723183391004,0.0,0.0,0.3460207612456747,115.08492061247873,18.61764112345496,16.1773071783622,19.26846162447823,0.0,0.0,-52.97134745705324,0.0,normal,Normal physiology,20,900340,1000620,0.0951760120001381
100.0,87.88927335640139,0.0,0.0,0.0,112.865188257437,20.878576141618066,18.49868543522525,21.038438374847104,0.0,0.0,-63.06507820530644,0.0,normal,Normal physiology,21,900357,1000651,0.0952128979997724
